"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"2","1.006003","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"3","1.806379","66:88:64:ea:ef:90","4e:10:d9:09:6e:99","ARP","42","Who has 10.0.0.7? Tell 10.0.0.2"
"4","1.806384","4e:10:d9:09:6e:99","66:88:64:ea:ef:90","ARP","42","10.0.0.7 is at 4e:10:d9:09:6e:99"
"5","2.030709","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.3"
"6","3.066205","10.0.0.3","10.0.0.7","ICMP","98","Echo (ping) request  id=0x771e, seq=1/256, ttl=64 (reply in 7)"
"7","3.066222","10.0.0.7","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x771e, seq=1/256, ttl=64 (request in 6)"
"8","3.217083","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.3"
"9","4.238008","16:0c:0f:a7:ef:8b","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.3"
