"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::3023:57ff:fe72:42ad","ip6-allrouters","ICMPv6","70","Router Solicitation from 32:23:57:72:42:ad"
"2","0.000168","fe80::787c:72ff:fef0:27e2","ip6-allrouters","ICMPv6","70","Router Solicitation from 7a:7c:72:f0:27:e2"
"3","0.000234","fe80::dc89:6eff:fe20:cafd","ip6-allrouters","ICMPv6","70","Router Solicitation from de:89:6e:20:ca:fd"
"4","0.000290","fe80::683d:4aff:fec0:cd25","ip6-allrouters","ICMPv6","70","Router Solicitation from 6a:3d:4a:c0:cd:25"
"5","0.000343","fe80::c820:4fff:feda:889b","ip6-allrouters","ICMPv6","70","Router Solicitation from ca:20:4f:da:88:9b"
"6","0.000417","fe80::b8ef:b4ff:fe30:25a9","ip6-allrouters","ICMPv6","70","Router Solicitation from ba:ef:b4:30:25:a9"
"7","0.000469","fe80::c83:5eff:fe4a:dfa1","ip6-allrouters","ICMPv6","70","Router Solicitation from 0e:83:5e:4a:df:a1"
"8","2.590982","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"9","3.614427","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"10","4.638576","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"11","5.757831","10.0.0.2","10.0.0.18","ICMP","98","Echo (ping) request  id=0xc838, seq=1/256, ttl=64 (reply in 12)"
"12","5.757855","10.0.0.18","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xc838, seq=1/256, ttl=64 (request in 11)"
"13","5.954096","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.2"
"14","6.974664","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.2"
"15","7.998562","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.50? Tell 10.0.0.2"
