"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) request  id=0xb2bb, seq=1/256, ttl=64 (no response found!)"
"2","5.121245","66:88:64:ea:ef:90","e2:b4:fb:24:29:c1","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"3","6.144886","66:88:64:ea:ef:90","e2:b4:fb:24:29:c1","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"4","7.168789","66:88:64:ea:ef:90","e2:b4:fb:24:29:c1","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"5","12.113787","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"6","13.120912","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"7","14.144868","66:88:64:ea:ef:90","Broadcast","ARP","42","Who has 10.0.0.1? Tell 10.0.0.2"
"8","15.173647","10.0.0.2","10.0.0.3","ICMP","98","Echo (ping) request  id=0x53f8, seq=1/256, ttl=64 (reply in 9)"
"9","15.173940","10.0.0.3","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x53f8, seq=1/256, ttl=64 (request in 8)"
"10","15.176868","10.0.0.2","10.0.0.4","ICMP","98","Echo (ping) request  id=0x7b19, seq=1/256, ttl=64 (reply in 11)"
"11","15.177193","10.0.0.4","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x7b19, seq=1/256, ttl=64 (request in 10)"
"12","15.180620","10.0.0.2","10.0.0.5","ICMP","98","Echo (ping) request  id=0x275c, seq=1/256, ttl=64 (reply in 13)"
"13","15.180965","10.0.0.5","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x275c, seq=1/256, ttl=64 (request in 12)"
"14","15.184731","10.0.0.2","10.0.0.6","ICMP","98","Echo (ping) request  id=0x3165, seq=1/256, ttl=64 (reply in 15)"
"15","15.184999","10.0.0.6","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x3165, seq=1/256, ttl=64 (request in 14)"
"16","15.188987","10.0.0.2","10.0.0.7","ICMP","98","Echo (ping) request  id=0x3d00, seq=1/256, ttl=64 (reply in 17)"
"17","15.189447","10.0.0.7","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x3d00, seq=1/256, ttl=64 (request in 16)"
"18","15.196580","10.0.0.2","10.0.0.8","ICMP","98","Echo (ping) request  id=0xd681, seq=1/256, ttl=64 (reply in 19)"
"19","15.196942","10.0.0.8","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xd681, seq=1/256, ttl=64 (request in 18)"
"20","15.201844","10.0.0.2","10.0.0.9","ICMP","98","Echo (ping) request  id=0xb072, seq=1/256, ttl=64 (reply in 21)"
"21","15.202569","10.0.0.9","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xb072, seq=1/256, ttl=64 (request in 20)"
"22","15.209827","10.0.0.2","10.0.0.10","ICMP","98","Echo (ping) request  id=0x7421, seq=1/256, ttl=64 (reply in 23)"
"23","15.210629","10.0.0.10","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x7421, seq=1/256, ttl=64 (request in 22)"
"24","15.214291","10.0.0.2","10.0.0.11","ICMP","98","Echo (ping) request  id=0x11be, seq=1/256, ttl=64 (reply in 25)"
"25","15.214547","10.0.0.11","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x11be, seq=1/256, ttl=64 (request in 24)"
"26","15.216551","10.0.0.2","10.0.0.12","ICMP","98","Echo (ping) request  id=0x396e, seq=1/256, ttl=64 (reply in 27)"
"27","15.216770","10.0.0.12","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x396e, seq=1/256, ttl=64 (request in 26)"
"28","15.218805","10.0.0.2","10.0.0.13","ICMP","98","Echo (ping) request  id=0xf233, seq=1/256, ttl=64 (reply in 29)"
"29","15.219110","10.0.0.13","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xf233, seq=1/256, ttl=64 (request in 28)"
"30","15.221722","10.0.0.2","10.0.0.14","ICMP","98","Echo (ping) request  id=0x57f5, seq=1/256, ttl=64 (reply in 31)"
