"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.48","ICMP","98","Echo (ping) request  id=0x281b, seq=1/256, ttl=64 (reply in 2)"
"2","0.000015","10.0.0.48","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x281b, seq=1/256, ttl=64 (request in 1)"
"3","0.199068","10.0.0.2","10.0.0.48","ICMP","98","Echo (ping) request  id=0x7e78, seq=1/256, ttl=64 (reply in 4)"
"4","0.199088","10.0.0.48","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x7e78, seq=1/256, ttl=64 (request in 3)"
"5","0.442042","10.0.0.3","10.0.0.48","ICMP","98","Echo (ping) request  id=0x70ba, seq=1/256, ttl=64 (reply in 6)"
"6","0.442065","10.0.0.48","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x70ba, seq=1/256, ttl=64 (request in 5)"
"7","0.735918","10.0.0.4","10.0.0.48","ICMP","98","Echo (ping) request  id=0x48da, seq=1/256, ttl=64 (reply in 8)"
"8","0.735936","10.0.0.48","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x48da, seq=1/256, ttl=64 (request in 7)"
"9","1.020893","10.0.0.5","10.0.0.48","ICMP","98","Echo (ping) request  id=0x8e79, seq=1/256, ttl=64 (reply in 10)"
"10","1.020918","10.0.0.48","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x8e79, seq=1/256, ttl=64 (request in 9)"
"11","1.381173","10.0.0.6","10.0.0.48","ICMP","98","Echo (ping) request  id=0x0842, seq=1/256, ttl=64 (reply in 12)"
"12","1.381234","10.0.0.48","10.0.0.6","ICMP","98","Echo (ping) reply    id=0x0842, seq=1/256, ttl=64 (request in 11)"
"13","5.631945","16:0c:0f:a7:ef:8b","1a:fa:70:f6:bf:57","ARP","42","Who has 10.0.0.48? Tell 10.0.0.3"
"14","5.631949","1a:fa:70:f6:bf:57","16:0c:0f:a7:ef:8b","ARP","42","10.0.0.48 is at 1a:fa:70:f6:bf:57"
"15","6.144085","82:b6:7c:91:42:48","1a:fa:70:f6:bf:57","ARP","42","Who has 10.0.0.48? Tell 10.0.0.5"
"16","6.144090","1a:fa:70:f6:bf:57","82:b6:7c:91:42:48","ARP","42","10.0.0.48 is at 1a:fa:70:f6:bf:57"
"17","6.399504","1a:fa:70:f6:bf:57","ba:42:b6:dc:11:8d","ARP","42","Who has 10.0.0.6? Tell 10.0.0.48"
"18","6.400056","ba:42:b6:dc:11:8d","1a:fa:70:f6:bf:57","ARP","42","Who has 10.0.0.48? Tell 10.0.0.6"
"19","6.400059","1a:fa:70:f6:bf:57","ba:42:b6:dc:11:8d","ARP","42","10.0.0.48 is at 1a:fa:70:f6:bf:57"
"20","6.400765","ba:42:b6:dc:11:8d","1a:fa:70:f6:bf:57","ARP","42","10.0.0.6 is at ba:42:b6:dc:11:8d"
