"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.38","ICMP","98","Echo (ping) request  id=0x604e, seq=1/256, ttl=64 (reply in 2)"
"2","0.000018","10.0.0.38","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x604e, seq=1/256, ttl=64 (request in 1)"
"3","0.296439","10.0.0.2","10.0.0.38","ICMP","98","Echo (ping) request  id=0xd801, seq=1/256, ttl=64 (reply in 4)"
"4","0.296458","10.0.0.38","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xd801, seq=1/256, ttl=64 (request in 3)"
"5","0.641798","10.0.0.3","10.0.0.38","ICMP","98","Echo (ping) request  id=0x35ec, seq=1/256, ttl=64 (reply in 6)"
"6","0.641817","10.0.0.38","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x35ec, seq=1/256, ttl=64 (request in 5)"
"7","1.011863","10.0.0.4","10.0.0.38","ICMP","98","Echo (ping) request  id=0x71c6, seq=1/256, ttl=64 (reply in 8)"
"8","1.011883","10.0.0.38","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x71c6, seq=1/256, ttl=64 (request in 7)"
"9","1.336859","10.0.0.5","10.0.0.38","ICMP","98","Echo (ping) request  id=0xe766, seq=1/256, ttl=64 (reply in 10)"
"10","1.336882","10.0.0.38","10.0.0.5","ICMP","98","Echo (ping) reply    id=0xe766, seq=1/256, ttl=64 (request in 9)"
"11","1.695415","10.0.0.6","10.0.0.38","ICMP","98","Echo (ping) request  id=0xfbdd, seq=1/256, ttl=64 (reply in 12)"
"12","1.695435","10.0.0.38","10.0.0.6","ICMP","98","Echo (ping) reply    id=0xfbdd, seq=1/256, ttl=64 (request in 11)"
