"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.33","ICMP","98","Echo (ping) request  id=0x2495, seq=1/256, ttl=64 (reply in 2)"
"2","0.000026","10.0.0.33","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x2495, seq=1/256, ttl=64 (request in 1)"
"3","0.318614","10.0.0.2","10.0.0.33","ICMP","98","Echo (ping) request  id=0x58d7, seq=1/256, ttl=64 (reply in 4)"
"4","0.318636","10.0.0.33","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x58d7, seq=1/256, ttl=64 (request in 3)"
"5","0.618154","10.0.0.3","10.0.0.33","ICMP","98","Echo (ping) request  id=0xeda4, seq=1/256, ttl=64 (reply in 6)"
"6","0.618171","10.0.0.33","10.0.0.3","ICMP","98","Echo (ping) reply    id=0xeda4, seq=1/256, ttl=64 (request in 5)"
"7","0.954655","10.0.0.4","10.0.0.33","ICMP","98","Echo (ping) request  id=0x04ef, seq=1/256, ttl=64 (reply in 8)"
"8","0.954676","10.0.0.33","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x04ef, seq=1/256, ttl=64 (request in 7)"
"9","1.298876","10.0.0.5","10.0.0.33","ICMP","98","Echo (ping) request  id=0x8518, seq=1/256, ttl=64 (reply in 10)"
"10","1.298902","10.0.0.33","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x8518, seq=1/256, ttl=64 (request in 9)"
"11","1.674767","10.0.0.6","10.0.0.33","ICMP","98","Echo (ping) request  id=0x46ca, seq=1/256, ttl=64 (reply in 12)"
"12","1.674788","10.0.0.33","10.0.0.6","ICMP","98","Echo (ping) reply    id=0x46ca, seq=1/256, ttl=64 (request in 11)"
