"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.46","ICMP","98","Echo (ping) request  id=0x769e, seq=1/256, ttl=64 (reply in 2)"
"2","0.000024","10.0.0.46","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x769e, seq=1/256, ttl=64 (request in 1)"
"3","0.368221","10.0.0.2","10.0.0.46","ICMP","98","Echo (ping) request  id=0x4e95, seq=1/256, ttl=64 (reply in 4)"
"4","0.368241","10.0.0.46","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x4e95, seq=1/256, ttl=64 (request in 3)"
"5","0.700067","10.0.0.3","10.0.0.46","ICMP","98","Echo (ping) request  id=0x75dc, seq=1/256, ttl=64 (reply in 6)"
"6","0.700092","10.0.0.46","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x75dc, seq=1/256, ttl=64 (request in 5)"
"7","1.085027","10.0.0.4","10.0.0.46","ICMP","98","Echo (ping) request  id=0xa79f, seq=1/256, ttl=64 (reply in 8)"
"8","1.085047","10.0.0.46","10.0.0.4","ICMP","98","Echo (ping) reply    id=0xa79f, seq=1/256, ttl=64 (request in 7)"
"9","1.420573","10.0.0.5","10.0.0.46","ICMP","98","Echo (ping) request  id=0x5aba, seq=1/256, ttl=64 (reply in 10)"
"10","1.420596","10.0.0.46","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x5aba, seq=1/256, ttl=64 (request in 9)"
