"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.12","ICMP","98","Echo (ping) request  id=0xac95, seq=1/256, ttl=64 (reply in 2)"
"2","0.000014","10.0.0.12","10.0.0.1","ICMP","98","Echo (ping) reply    id=0xac95, seq=1/256, ttl=64 (request in 1)"
"3","0.120040","10.0.0.2","10.0.0.12","ICMP","98","Echo (ping) request  id=0x900d, seq=1/256, ttl=64 (reply in 4)"
"4","0.120053","10.0.0.12","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x900d, seq=1/256, ttl=64 (request in 3)"
"5","0.257053","10.0.0.3","10.0.0.12","ICMP","98","Echo (ping) request  id=0x24c7, seq=1/256, ttl=64 (reply in 6)"
"6","0.257068","10.0.0.12","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x24c7, seq=1/256, ttl=64 (request in 5)"
"7","0.411089","10.0.0.4","10.0.0.12","ICMP","98","Echo (ping) request  id=0x2287, seq=1/256, ttl=64 (reply in 8)"
"8","0.411103","10.0.0.12","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x2287, seq=1/256, ttl=64 (request in 7)"
"9","0.551053","10.0.0.5","10.0.0.12","ICMP","98","Echo (ping) request  id=0xe5d5, seq=1/256, ttl=64 (reply in 10)"
"10","0.551064","10.0.0.12","10.0.0.5","ICMP","98","Echo (ping) reply    id=0xe5d5, seq=1/256, ttl=64 (request in 9)"
"11","0.709407","10.0.0.6","10.0.0.12","ICMP","98","Echo (ping) request  id=0x910b, seq=1/256, ttl=64 (reply in 12)"
"12","0.709423","10.0.0.12","10.0.0.6","ICMP","98","Echo (ping) reply    id=0x910b, seq=1/256, ttl=64 (request in 11)"
"13","0.856402","10.0.0.7","10.0.0.12","ICMP","98","Echo (ping) request  id=0x3113, seq=1/256, ttl=64 (reply in 14)"
"14","0.856417","10.0.0.12","10.0.0.7","ICMP","98","Echo (ping) reply    id=0x3113, seq=1/256, ttl=64 (request in 13)"
"15","0.987658","10.0.0.8","10.0.0.12","ICMP","98","Echo (ping) request  id=0xab21, seq=1/256, ttl=64 (reply in 16)"
"16","0.987671","10.0.0.12","10.0.0.8","ICMP","98","Echo (ping) reply    id=0xab21, seq=1/256, ttl=64 (request in 15)"
"17","1.158278","10.0.0.9","10.0.0.12","ICMP","98","Echo (ping) request  id=0xef4f, seq=1/256, ttl=64 (reply in 18)"
"18","1.158293","10.0.0.12","10.0.0.9","ICMP","98","Echo (ping) reply    id=0xef4f, seq=1/256, ttl=64 (request in 17)"
"19","1.324552","10.0.0.10","10.0.0.12","ICMP","98","Echo (ping) request  id=0xf199, seq=1/256, ttl=64 (reply in 20)"
"20","1.324584","10.0.0.12","10.0.0.10","ICMP","98","Echo (ping) reply    id=0xf199, seq=1/256, ttl=64 (request in 19)"
"21","1.489953","10.0.0.11","10.0.0.12","ICMP","98","Echo (ping) request  id=0xe08a, seq=1/256, ttl=64 (reply in 22)"
"22","1.489969","10.0.0.12","10.0.0.11","ICMP","98","Echo (ping) reply    id=0xe08a, seq=1/256, ttl=64 (request in 21)"
