"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","lb-140-82-114-25-iad.github.com","guillermo-VirtualBox.local","TLSv1.2","80","Application Data"
"2","0.000145","guillermo-VirtualBox.local","lb-140-82-114-25-iad.github.com","TLSv1.2","84","Application Data"
"3","0.000395","lb-140-82-114-25-iad.github.com","guillermo-VirtualBox.local","TCP","60","443  >  47362 [ACK] Seq=27 Ack=31 Win=65535 Len=0"
"4","0.720334","guillermo-VirtualBox.local","mynetwork","DNS","89","Standard query 0x02c8 AAAA connectivity-check.ubuntu.com"
"5","0.731606","mynetwork","guillermo-VirtualBox.local","DNS","89","Standard query response 0x02c8 AAAA connectivity-check.ubuntu.com"
"6","0.732687","guillermo-VirtualBox.local","mynetwork","DNS","89","Standard query 0x0df3 AAAA connectivity-check.ubuntu.com"
"7","0.736638","mynetwork","guillermo-VirtualBox.local","DNS","89","Standard query response 0x0df3 AAAA connectivity-check.ubuntu.com"
"8","0.905373","guillermo-VirtualBox.local","mynetwork","DNS","82","Standard query 0xde03 PTR 15.2.0.10.in-addr.arpa"
"9","0.911479","mynetwork","guillermo-VirtualBox.local","DNS","82","Standard query response 0xde03 No such name PTR 15.2.0.10.in-addr.arpa"
"10","1.906541","guillermo-VirtualBox.local","mynetwork","DNS","84","Standard query 0xd0b5 PTR 1.2.168.192.in-addr.arpa"
"11","1.917311","mynetwork","guillermo-VirtualBox.local","DNS","107","Standard query response 0xd0b5 PTR 1.2.168.192.in-addr.arpa PTR mynetwork"
