"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.47","ICMP","98","Echo (ping) request  id=0x4664, seq=1/256, ttl=64 (reply in 2)"
"2","0.000024","10.0.0.47","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x4664, seq=1/256, ttl=64 (request in 1)"
"3","0.312113","10.0.0.2","10.0.0.47","ICMP","98","Echo (ping) request  id=0xaf9c, seq=1/256, ttl=64 (reply in 4)"
"4","0.312136","10.0.0.47","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xaf9c, seq=1/256, ttl=64 (request in 3)"
"5","0.739924","10.0.0.3","10.0.0.47","ICMP","98","Echo (ping) request  id=0x2fe3, seq=1/256, ttl=64 (reply in 6)"
"6","0.739942","10.0.0.47","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x2fe3, seq=1/256, ttl=64 (request in 5)"
"7","1.076014","10.0.0.4","10.0.0.47","ICMP","98","Echo (ping) request  id=0xb1e3, seq=1/256, ttl=64 (reply in 8)"
"8","1.076033","10.0.0.47","10.0.0.4","ICMP","98","Echo (ping) reply    id=0xb1e3, seq=1/256, ttl=64 (request in 7)"
"9","1.450679","10.0.0.5","10.0.0.47","ICMP","98","Echo (ping) request  id=0xfdd0, seq=1/256, ttl=64 (reply in 10)"
"10","1.450697","10.0.0.47","10.0.0.5","ICMP","98","Echo (ping) reply    id=0xfdd0, seq=1/256, ttl=64 (request in 9)"
