"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.32","ICMP","98","Echo (ping) request  id=0xfab3, seq=1/256, ttl=64 (reply in 2)"
"2","0.000018","10.0.0.32","10.0.0.1","ICMP","98","Echo (ping) reply    id=0xfab3, seq=1/256, ttl=64 (request in 1)"
"3","0.335797","10.0.0.2","10.0.0.32","ICMP","98","Echo (ping) request  id=0x0a34, seq=1/256, ttl=64 (reply in 4)"
"4","0.335813","10.0.0.32","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x0a34, seq=1/256, ttl=64 (request in 3)"
"5","0.671009","10.0.0.3","10.0.0.32","ICMP","98","Echo (ping) request  id=0x6c79, seq=1/256, ttl=64 (reply in 6)"
"6","0.671027","10.0.0.32","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x6c79, seq=1/256, ttl=64 (request in 5)"
"7","0.958503","10.0.0.4","10.0.0.32","ICMP","98","Echo (ping) request  id=0x977a, seq=1/256, ttl=64 (reply in 8)"
"8","0.958523","10.0.0.32","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x977a, seq=1/256, ttl=64 (request in 7)"
"9","1.343302","10.0.0.5","10.0.0.32","ICMP","98","Echo (ping) request  id=0x7d93, seq=1/256, ttl=64 (reply in 10)"
"10","1.343317","10.0.0.32","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x7d93, seq=1/256, ttl=64 (request in 9)"
"11","1.688416","10.0.0.6","10.0.0.32","ICMP","98","Echo (ping) request  id=0x6476, seq=1/256, ttl=64 (reply in 12)"
"12","1.688434","10.0.0.32","10.0.0.6","ICMP","98","Echo (ping) reply    id=0x6476, seq=1/256, ttl=64 (request in 11)"
"13","2.084732","10.0.0.7","10.0.0.32","ICMP","98","Echo (ping) request  id=0x69af, seq=1/256, ttl=64 (reply in 14)"
"14","2.084803","10.0.0.32","10.0.0.7","ICMP","98","Echo (ping) reply    id=0x69af, seq=1/256, ttl=64 (request in 13)"
