"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","guillermo-VirtualBox.local","239.237.117.34.bc.googleusercontent.com","TLSv1.2","93","Application Data"
"2","0.000314","239.237.117.34.bc.googleusercontent.com","guillermo-VirtualBox.local","TCP","60","443  >  52710 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"3","0.008192","239.237.117.34.bc.googleusercontent.com","guillermo-VirtualBox.local","TLSv1.2","93","Application Data"
"4","0.008214","guillermo-VirtualBox.local","239.237.117.34.bc.googleusercontent.com","TCP","54","52710  >  443 [ACK] Seq=40 Ack=40 Win=42128 Len=0"
"5","1.412916","guillermo-VirtualBox.local","mynetwork","DNS","82","Standard query 0x4cc4 PTR 15.2.0.10.in-addr.arpa"
"6","1.413083","guillermo-VirtualBox.local","mynetwork","DNS","87","Standard query 0xc827 PTR 239.237.117.34.in-addr.arpa"
"7","1.418754","mynetwork","guillermo-VirtualBox.local","DNS","82","Standard query response 0x4cc4 No such name PTR 15.2.0.10.in-addr.arpa"
"8","1.451306","mynetwork","guillermo-VirtualBox.local","DNS","140","Standard query response 0xc827 PTR 239.237.117.34.in-addr.arpa PTR 239.237.117.34.bc.googleusercontent.com"
"9","2.412840","guillermo-VirtualBox.local","mynetwork","DNS","84","Standard query 0xc0ba PTR 1.2.168.192.in-addr.arpa"
"10","2.424516","mynetwork","guillermo-VirtualBox.local","DNS","107","Standard query response 0xc0ba PTR 1.2.168.192.in-addr.arpa PTR mynetwork"
