"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.23","ICMP","98","Echo (ping) request  id=0x161f, seq=1/256, ttl=64 (reply in 2)"
"2","0.000022","10.0.0.23","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x161f, seq=1/256, ttl=64 (request in 1)"
"3","0.354995","10.0.0.2","10.0.0.23","ICMP","98","Echo (ping) request  id=0x0ffa, seq=1/256, ttl=64 (reply in 4)"
"4","0.355015","10.0.0.23","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x0ffa, seq=1/256, ttl=64 (request in 3)"
"5","0.725032","10.0.0.3","10.0.0.23","ICMP","98","Echo (ping) request  id=0xf8d7, seq=1/256, ttl=64 (reply in 6)"
"6","0.725050","10.0.0.23","10.0.0.3","ICMP","98","Echo (ping) reply    id=0xf8d7, seq=1/256, ttl=64 (request in 5)"
"7","1.123419","10.0.0.4","10.0.0.23","ICMP","98","Echo (ping) request  id=0xc7b5, seq=1/256, ttl=64 (reply in 8)"
"8","1.123438","10.0.0.23","10.0.0.4","ICMP","98","Echo (ping) reply    id=0xc7b5, seq=1/256, ttl=64 (request in 7)"
"9","1.508870","10.0.0.5","10.0.0.23","ICMP","98","Echo (ping) request  id=0x7122, seq=1/256, ttl=64 (reply in 10)"
"10","1.508888","10.0.0.23","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x7122, seq=1/256, ttl=64 (request in 9)"
