"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.31","ICMP","98","Echo (ping) request  id=0x6d8e, seq=1/256, ttl=64 (reply in 2)"
"2","0.000014","10.0.0.31","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6d8e, seq=1/256, ttl=64 (request in 1)"
"3","0.123257","10.0.0.2","10.0.0.31","ICMP","98","Echo (ping) request  id=0x8afe, seq=1/256, ttl=64 (reply in 4)"
"4","0.123274","10.0.0.31","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x8afe, seq=1/256, ttl=64 (request in 3)"
"5","0.242073","10.0.0.3","10.0.0.31","ICMP","98","Echo (ping) request  id=0xb965, seq=1/256, ttl=64 (reply in 6)"
"6","0.242091","10.0.0.31","10.0.0.3","ICMP","98","Echo (ping) reply    id=0xb965, seq=1/256, ttl=64 (request in 5)"
"7","0.343985","10.0.0.4","10.0.0.31","ICMP","98","Echo (ping) request  id=0x200d, seq=1/256, ttl=64 (reply in 8)"
"8","0.343996","10.0.0.31","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x200d, seq=1/256, ttl=64 (request in 7)"
"9","0.458679","10.0.0.5","10.0.0.31","ICMP","98","Echo (ping) request  id=0x9fb6, seq=1/256, ttl=64 (reply in 10)"
"10","0.458691","10.0.0.31","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x9fb6, seq=1/256, ttl=64 (request in 9)"
"11","0.580839","10.0.0.6","10.0.0.31","ICMP","98","Echo (ping) request  id=0x5cb1, seq=1/256, ttl=64 (reply in 12)"
"12","0.580855","10.0.0.31","10.0.0.6","ICMP","98","Echo (ping) reply    id=0x5cb1, seq=1/256, ttl=64 (request in 11)"
"13","0.727636","10.0.0.7","10.0.0.31","ICMP","98","Echo (ping) request  id=0x408b, seq=1/256, ttl=64 (reply in 14)"
"14","0.727651","10.0.0.31","10.0.0.7","ICMP","98","Echo (ping) reply    id=0x408b, seq=1/256, ttl=64 (request in 13)"
"15","0.850966","10.0.0.8","10.0.0.31","ICMP","98","Echo (ping) request  id=0xaa5c, seq=1/256, ttl=64 (reply in 16)"
"16","0.850981","10.0.0.31","10.0.0.8","ICMP","98","Echo (ping) reply    id=0xaa5c, seq=1/256, ttl=64 (request in 15)"
"17","0.982942","10.0.0.9","10.0.0.31","ICMP","98","Echo (ping) request  id=0xe5e7, seq=1/256, ttl=64 (reply in 18)"
"18","0.982955","10.0.0.31","10.0.0.9","ICMP","98","Echo (ping) reply    id=0xe5e7, seq=1/256, ttl=64 (request in 17)"
"19","1.161609","10.0.0.10","10.0.0.31","ICMP","98","Echo (ping) request  id=0x3197, seq=1/256, ttl=64 (reply in 20)"
"20","1.161623","10.0.0.31","10.0.0.10","ICMP","98","Echo (ping) reply    id=0x3197, seq=1/256, ttl=64 (request in 19)"
"21","1.323284","10.0.0.11","10.0.0.31","ICMP","98","Echo (ping) request  id=0xdf81, seq=1/256, ttl=64 (reply in 22)"
"22","1.323297","10.0.0.31","10.0.0.11","ICMP","98","Echo (ping) reply    id=0xdf81, seq=1/256, ttl=64 (request in 21)"
"23","1.484820","10.0.0.12","10.0.0.31","ICMP","98","Echo (ping) request  id=0xbacc, seq=1/256, ttl=64 (reply in 24)"
"24","1.484833","10.0.0.31","10.0.0.12","ICMP","98","Echo (ping) reply    id=0xbacc, seq=1/256, ttl=64 (request in 23)"
"25","1.623312","10.0.0.13","10.0.0.31","ICMP","98","Echo (ping) request  id=0x11ee, seq=1/256, ttl=64 (reply in 26)"
"26","1.623326","10.0.0.31","10.0.0.13","ICMP","98","Echo (ping) reply    id=0x11ee, seq=1/256, ttl=64 (request in 25)"
