"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","guillermo-VirtualBox.local","10.0.0.3","ICMP","98","Echo (ping) request  id=0x000b, seq=1/256, ttl=64 (no response found!)"
"2","0.864032","guillermo-VirtualBox.local","mynetwork","DNS","82","Standard query 0x72fe PTR 15.2.0.10.in-addr.arpa"
"3","0.864543","guillermo-VirtualBox.local","mynetwork","DNS","81","Standard query 0xb442 PTR 3.0.0.10.in-addr.arpa"
"4","0.874669","mynetwork","guillermo-VirtualBox.local","DNS","81","Standard query response 0xb442 No such name PTR 3.0.0.10.in-addr.arpa"
"5","0.874669","mynetwork","guillermo-VirtualBox.local","DNS","82","Standard query response 0x72fe No such name PTR 15.2.0.10.in-addr.arpa"
"6","1.816022","private.canadianshield.cira.ca","guillermo-VirtualBox.local","TLSv1.2","78","Application Data"
"7","1.816059","guillermo-VirtualBox.local","private.canadianshield.cira.ca","TCP","54","52790  >  443 [ACK] Seq=1 Ack=25 Win=42106 Len=0"
"8","1.816253","guillermo-VirtualBox.local","private.canadianshield.cira.ca","TLSv1.2","93","Application Data"
"9","1.816437","guillermo-VirtualBox.local","private.canadianshield.cira.ca","TLSv1.2","78","Application Data"
"10","1.816467","private.canadianshield.cira.ca","guillermo-VirtualBox.local","TCP","60","443  >  52790 [ACK] Seq=25 Ack=40 Win=65535 Len=0"
"11","1.816493","guillermo-VirtualBox.local","private.canadianshield.cira.ca","TCP","54","52790  >  443 [FIN, ACK] Seq=64 Ack=25 Win=42106 Len=0"
"12","1.816671","private.canadianshield.cira.ca","guillermo-VirtualBox.local","TCP","60","443  >  52790 [ACK] Seq=25 Ack=64 Win=65535 Len=0"
"13","1.816671","private.canadianshield.cira.ca","guillermo-VirtualBox.local","TCP","60","443  >  52790 [ACK] Seq=25 Ack=65 Win=65535 Len=0"
"14","1.864854","guillermo-VirtualBox.local","mynetwork","DNS","84","Standard query 0x5bc1 PTR 1.2.168.192.in-addr.arpa"
"15","1.872009","mynetwork","guillermo-VirtualBox.local","DNS","107","Standard query response 0x5bc1 PTR 1.2.168.192.in-addr.arpa PTR mynetwork"
"16","1.897391","private.canadianshield.cira.ca","guillermo-VirtualBox.local","TCP","60","443  >  52790 [RST, ACK] Seq=25 Ack=65 Win=65535 Len=0"
"17","2.864494","guillermo-VirtualBox.local","mynetwork","DNS","87","Standard query 0xa38c PTR 10.121.112.149.in-addr.arpa"
"18","2.880740","mynetwork","guillermo-VirtualBox.local","DNS","131","Standard query response 0xa38c PTR 10.121.112.149.in-addr.arpa PTR private.canadianshield.cira.ca"
