"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0xb263, seq=1/256, ttl=64 (reply in 2)"
"2","0.000019","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0xb263, seq=1/256, ttl=64 (request in 1)"
"3","0.127663","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) request  id=0xaf6f, seq=1/256, ttl=64 (reply in 4)"
"4","0.127677","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xaf6f, seq=1/256, ttl=64 (request in 3)"
"5","0.129284","10.0.0.2","10.0.0.3","ICMP","98","Echo (ping) request  id=0x3186, seq=1/256, ttl=64 (reply in 6)"
"6","0.129385","10.0.0.3","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x3186, seq=1/256, ttl=64 (request in 5)"
"7","0.131036","10.0.0.2","10.0.0.4","ICMP","98","Echo (ping) request  id=0xc186, seq=1/256, ttl=64 (reply in 8)"
"8","0.131129","10.0.0.4","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xc186, seq=1/256, ttl=64 (request in 7)"
"9","0.132806","10.0.0.2","10.0.0.5","ICMP","98","Echo (ping) request  id=0x9271, seq=1/256, ttl=64 (reply in 10)"
"10","0.132899","10.0.0.5","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x9271, seq=1/256, ttl=64 (request in 9)"
"11","0.138306","10.0.0.2","10.0.0.6","ICMP","98","Echo (ping) request  id=0x55d3, seq=1/256, ttl=64 (reply in 12)"
"12","0.138445","10.0.0.6","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x55d3, seq=1/256, ttl=64 (request in 11)"
"13","0.141304","10.0.0.2","10.0.0.7","ICMP","98","Echo (ping) request  id=0x4fb0, seq=1/256, ttl=64 (reply in 14)"
"14","0.141442","10.0.0.7","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x4fb0, seq=1/256, ttl=64 (request in 13)"
"15","0.143462","10.0.0.2","10.0.0.8","ICMP","98","Echo (ping) request  id=0x8154, seq=1/256, ttl=64 (reply in 16)"
