"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","guillermo-VirtualBox.local","10.0.0.2","ICMP","98","Echo (ping) request  id=0x000a, seq=1/256, ttl=64 (no response found!)"
"2","0.921087","guillermo-VirtualBox.local","mynetwork","DNS","82","Standard query 0xf2e5 PTR 15.2.0.10.in-addr.arpa"
"3","0.921250","guillermo-VirtualBox.local","mynetwork","DNS","81","Standard query 0x653d PTR 2.0.0.10.in-addr.arpa"
"4","0.931488","mynetwork","guillermo-VirtualBox.local","DNS","81","Standard query response 0x653d No such name PTR 2.0.0.10.in-addr.arpa"
"5","0.931488","mynetwork","guillermo-VirtualBox.local","DNS","82","Standard query response 0xf2e5 No such name PTR 15.2.0.10.in-addr.arpa"
"6","1.922923","guillermo-VirtualBox.local","mynetwork","DNS","84","Standard query 0x704b PTR 1.2.168.192.in-addr.arpa"
"7","1.935811","mynetwork","guillermo-VirtualBox.local","DNS","107","Standard query response 0x704b PTR 1.2.168.192.in-addr.arpa PTR mynetwork"
"8","5.135544","guillermo-VirtualBox.local","_gateway","ARP","42","Who has 10.0.2.2? Tell 10.0.2.15"
"9","5.135762","_gateway","guillermo-VirtualBox.local","ARP","60","10.0.2.2 is at 52:54:00:12:35:02"
"10","5.925421","guillermo-VirtualBox.local","mynetwork","DNS","81","Standard query 0x6648 PTR 2.2.0.10.in-addr.arpa"
"11","5.934182","mynetwork","guillermo-VirtualBox.local","DNS","81","Standard query response 0x6648 No such name PTR 2.2.0.10.in-addr.arpa"
