"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.42","ICMP","98","Echo (ping) request  id=0xb325, seq=1/256, ttl=64 (reply in 2)"
"2","0.000041","10.0.0.42","10.0.0.1","ICMP","98","Echo (ping) reply    id=0xb325, seq=1/256, ttl=64 (request in 1)"
"3","0.256335","10.0.0.2","10.0.0.42","ICMP","98","Echo (ping) request  id=0x1971, seq=1/256, ttl=64 (reply in 4)"
"4","0.256357","10.0.0.42","10.0.0.2","ICMP","98","Echo (ping) reply    id=0x1971, seq=1/256, ttl=64 (request in 3)"
"5","0.577996","10.0.0.3","10.0.0.42","ICMP","98","Echo (ping) request  id=0x43e0, seq=1/256, ttl=64 (reply in 6)"
"6","0.578023","10.0.0.42","10.0.0.3","ICMP","98","Echo (ping) reply    id=0x43e0, seq=1/256, ttl=64 (request in 5)"
"7","0.912079","10.0.0.4","10.0.0.42","ICMP","98","Echo (ping) request  id=0x1940, seq=1/256, ttl=64 (reply in 8)"
"8","0.912100","10.0.0.42","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x1940, seq=1/256, ttl=64 (request in 7)"
"9","1.233012","10.0.0.5","10.0.0.42","ICMP","98","Echo (ping) request  id=0xab3b, seq=1/256, ttl=64 (reply in 10)"
"10","1.233059","10.0.0.42","10.0.0.5","ICMP","98","Echo (ping) reply    id=0xab3b, seq=1/256, ttl=64 (request in 9)"
