"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.1","10.0.0.36","ICMP","98","Echo (ping) request  id=0x5eb3, seq=1/256, ttl=64 (reply in 2)"
"2","0.000015","10.0.0.36","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x5eb3, seq=1/256, ttl=64 (request in 1)"
"3","0.134150","10.0.0.2","10.0.0.36","ICMP","98","Echo (ping) request  id=0xcb68, seq=1/256, ttl=64 (reply in 4)"
"4","0.134164","10.0.0.36","10.0.0.2","ICMP","98","Echo (ping) reply    id=0xcb68, seq=1/256, ttl=64 (request in 3)"
"5","0.261287","10.0.0.3","10.0.0.36","ICMP","98","Echo (ping) request  id=0xdeec, seq=1/256, ttl=64 (reply in 6)"
"6","0.261299","10.0.0.36","10.0.0.3","ICMP","98","Echo (ping) reply    id=0xdeec, seq=1/256, ttl=64 (request in 5)"
"7","0.385012","10.0.0.4","10.0.0.36","ICMP","98","Echo (ping) request  id=0x431a, seq=1/256, ttl=64 (reply in 8)"
"8","0.385032","10.0.0.36","10.0.0.4","ICMP","98","Echo (ping) reply    id=0x431a, seq=1/256, ttl=64 (request in 7)"
"9","0.512937","10.0.0.5","10.0.0.36","ICMP","98","Echo (ping) request  id=0x9ef5, seq=1/256, ttl=64 (reply in 10)"
"10","0.512956","10.0.0.36","10.0.0.5","ICMP","98","Echo (ping) reply    id=0x9ef5, seq=1/256, ttl=64 (request in 9)"
"11","0.628379","10.0.0.6","10.0.0.36","ICMP","98","Echo (ping) request  id=0xb9de, seq=1/256, ttl=64 (reply in 12)"
"12","0.628399","10.0.0.36","10.0.0.6","ICMP","98","Echo (ping) reply    id=0xb9de, seq=1/256, ttl=64 (request in 11)"
"13","0.780615","10.0.0.7","10.0.0.36","ICMP","98","Echo (ping) request  id=0xf7be, seq=1/256, ttl=64 (reply in 14)"
"14","0.780630","10.0.0.36","10.0.0.7","ICMP","98","Echo (ping) reply    id=0xf7be, seq=1/256, ttl=64 (request in 13)"
"15","0.934828","10.0.0.8","10.0.0.36","ICMP","98","Echo (ping) request  id=0x999c, seq=1/256, ttl=64 (reply in 16)"
"16","0.934843","10.0.0.36","10.0.0.8","ICMP","98","Echo (ping) reply    id=0x999c, seq=1/256, ttl=64 (request in 15)"
"17","1.070408","10.0.0.9","10.0.0.36","ICMP","98","Echo (ping) request  id=0x4aa2, seq=1/256, ttl=64 (reply in 18)"
"18","1.070423","10.0.0.36","10.0.0.9","ICMP","98","Echo (ping) reply    id=0x4aa2, seq=1/256, ttl=64 (request in 17)"
"19","1.243743","10.0.0.10","10.0.0.36","ICMP","98","Echo (ping) request  id=0xdc7f, seq=1/256, ttl=64 (reply in 20)"
"20","1.243826","10.0.0.36","10.0.0.10","ICMP","98","Echo (ping) reply    id=0xdc7f, seq=1/256, ttl=64 (request in 19)"
"21","1.413089","10.0.0.11","10.0.0.36","ICMP","98","Echo (ping) request  id=0x00f9, seq=1/256, ttl=64 (reply in 22)"
"22","1.413106","10.0.0.36","10.0.0.11","ICMP","98","Echo (ping) reply    id=0x00f9, seq=1/256, ttl=64 (request in 21)"
"23","1.552204","10.0.0.12","10.0.0.36","ICMP","98","Echo (ping) request  id=0x1286, seq=1/256, ttl=64 (reply in 24)"
"24","1.552220","10.0.0.36","10.0.0.12","ICMP","98","Echo (ping) reply    id=0x1286, seq=1/256, ttl=64 (request in 23)"
"25","1.711818","10.0.0.13","10.0.0.36","ICMP","98","Echo (ping) request  id=0x70b5, seq=1/256, ttl=64 (reply in 26)"
"26","1.711833","10.0.0.36","10.0.0.13","ICMP","98","Echo (ping) reply    id=0x70b5, seq=1/256, ttl=64 (request in 25)"
